rule_id,rule_text,rule_type,train_accuracy,val_accuracy,train_f1,val_f1,complexity,support,confidence,source_model,grammar_valid,dnf_valid,variables_used,n_predicates
DT_d2_r1,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574,pass,0.9563,0.9500,0.9247,0.9091,2,1,0.9091,decision_tree,True,True,initial_heading_error,2
DT_d2_r2,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,fail,0.9563,0.9500,0.9247,0.9091,2,1,0.9565,decision_tree,True,True,initial_heading_error,2
DT_d2_r3,initial_heading_error > 0.8236,pass,0.9563,0.9500,0.9247,0.9091,1,1,1.0000,decision_tree,True,True,initial_heading_error,1
DT_DNF_d2_pass,(initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574) OR initial_heading_error > 0.8236,pass,0.9563,0.9500,0.9247,0.9091,3,2,0.9545,decision_tree_dnf,True,True,initial_heading_error,3
DT_d3_r1,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed <= 0.7535,pass,0.9563,0.9500,0.9247,0.9091,3,1,0.6000,decision_tree,True,True,initial_heading_error; initial_speed,3
DT_d3_r2,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed > 0.7535,pass,0.9563,0.9500,0.9247,0.9091,3,1,1.0000,decision_tree,True,True,initial_heading_error; initial_speed,3
DT_d3_r3,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266,fail,0.9563,0.9500,0.9247,0.9091,3,1,0.8810,decision_tree,True,True,initial_heading_error; obstacle_radius,3
DT_d3_r4,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266,fail,0.9563,0.9500,0.9247,0.9091,3,1,1.0000,decision_tree,True,True,initial_heading_error; obstacle_radius,3
DT_DNF_d3_pass,(initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed <= 0.7535) OR (initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed > 0.7535) OR initial_heading_error > 0.8236,pass,0.9563,0.9500,0.9247,0.9091,7,3,0.8667,decision_tree_dnf,True,True,initial_heading_error; initial_speed,7
DT_DNF_d3_fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266),fail,0.9563,0.9500,0.9247,0.9091,6,2,0.9405,decision_tree_dnf,True,True,initial_heading_error; obstacle_radius,6
