rule_id,rule_type,rule_text,total_runs,n_mismatches,decisiveness,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,accuracy,grammar_valid,meets_criteria
DT_d2_r1,fail,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664,141,68,0.5177,0.4823,0.0000,0,73,68,0,0.5177,True,True
DT_d2_r2,fail,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664,141,19,0.8652,0.1348,0.0000,0,122,19,0,0.8652,True,False
DT_d2_r3,pass,obstacle_heading > 0.2668 AND initial_heading_error <= -0.9853,141,0,1.0000,0.0000,0.8794,17,0,0,124,0.1206,True,False
DT_d2_r4,fail,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853,141,37,0.7376,0.2624,0.0000,0,104,37,0,0.7376,True,True
DT_DNF_d2_fail,fail,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853),141,124,0.1206,0.8794,0.0000,0,17,124,0,0.1206,True,True
DT_d3_r1,fail,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475,141,9,0.9362,0.0638,0.0000,0,132,9,0,0.9362,True,False
DT_d3_r2,fail,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475,141,59,0.5816,0.4184,0.0000,0,82,59,0,0.5816,True,True
DT_d3_r3,fail,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed <= 2.1176,141,13,0.9078,0.0922,0.0000,0,128,13,0,0.9078,True,False
DT_d3_r4,pass,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed > 2.1176,141,0,1.0000,0.0000,0.9574,6,0,0,135,0.0426,True,False
DT_d3_r6,fail,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352,141,21,0.8511,0.1489,0.0000,0,120,21,0,0.8511,True,False
DT_d3_r7,pass,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352,141,0,1.0000,0.0000,0.8865,16,0,0,125,0.1135,True,False
DT_DNF_d3_pass,pass,(obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed > 2.1176) OR (obstacle_heading > 0.2668 AND initial_heading_error <= -0.9853) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error > 1.0352),141,0,1.0000,0.0000,0.7234,39,0,0,102,0.2766,True,False
DT_DNF_d3_fail,fail,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475) OR (obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed <= 2.1176) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352),141,102,0.2766,0.7234,0.0000,0,39,102,0,0.2766,True,True
DT_d4_r1,pass,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading <= -1.7858,141,0,1.0000,0.0000,0.9716,4,0,0,137,0.0284,True,False
DT_d4_r2,fail,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475 AND obstacle_heading > -1.7858,141,5,0.9645,0.0355,0.0000,0,136,5,0,0.9645,True,False
DT_d4_r3,fail,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475 AND obstacle_speed <= 0.1854,141,11,0.9220,0.0780,0.0000,0,130,11,0,0.9220,True,False
