rule_id,rule_text,rule_type,train_accuracy,val_accuracy,train_f1,val_f1,complexity,support,confidence,source_model,grammar_valid,dnf_valid,variables_used,n_predicates
DT_d2_r1,initial_heading_error <= -1.3198 AND initial_distance_to_obstacle <= 1.9787,pass,0.9771,0.9697,0.9032,0.8571,2,1,0.8000,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle,2
DT_d2_r2,initial_heading_error <= -1.3198 AND initial_distance_to_obstacle > 1.9787,pass,0.9771,0.9697,0.9032,0.8571,2,1,1.0000,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle,2
DT_d2_r3,initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732,fail,0.9771,0.9697,0.9032,0.8571,2,1,0.9828,decision_tree,True,True,initial_heading_error,2
DT_d2_r4,initial_heading_error > -1.3198 AND initial_heading_error > 1.0732,pass,0.9771,0.9697,0.9032,0.8571,2,1,1.0000,decision_tree,True,True,initial_heading_error,2
DT_DNF_d2_pass,(initial_heading_error <= -1.3198 AND initial_distance_to_obstacle <= 1.9787) OR (initial_heading_error <= -1.3198 AND initial_distance_to_obstacle > 1.9787) OR (initial_heading_error > -1.3198 AND initial_heading_error > 1.0732),pass,0.9771,0.9697,0.9032,0.8571,6,3,0.9333,decision_tree_dnf,True,True,initial_heading_error; initial_distance_to_obstacle,6
DT_d3_r3,initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731,fail,0.9771,0.9697,0.9032,0.8571,3,1,0.6000,decision_tree,True,True,initial_heading_error; obstacle_radius,3
DT_d3_r4,initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731,fail,0.9771,0.9697,0.9032,0.8571,3,1,1.0000,decision_tree,True,True,initial_heading_error; obstacle_radius,3
DT_DNF_d3_fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),fail,0.9771,0.9697,0.9032,0.8571,6,2,0.8000,decision_tree_dnf,True,True,initial_heading_error; obstacle_radius,6
RF_t14_r1,initial_heading_error <= -1.6915,pass,0.9466,1.0000,0.7200,0.6667,1,1,1.0000,random_forest,True,True,initial_heading_error,1
RF_t14_r2,initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038,fail,0.9466,1.0000,0.7200,0.6667,2,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,2
RF_t14_r3,initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714,fail,0.9466,1.0000,0.7200,0.6667,4,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,4
RF_t14_r4,initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714,fail,0.9466,1.0000,0.7200,0.6667,4,1,0.9286,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,4
RF_t14_r5,initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error > 0.4442,pass,0.9466,1.0000,0.7200,0.6667,3,1,0.7778,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,3
RF_DNF_t14_pass,initial_heading_error <= -1.6915 OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error > 0.4442),pass,0.9466,1.0000,0.7200,0.6667,4,2,0.8889,random_forest_dnf,True,True,initial_heading_error; initial_distance_to_obstacle,4
RF_DNF_t14_fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),fail,0.9466,1.0000,0.7200,0.6667,10,3,0.9762,random_forest_dnf,True,True,initial_heading_error; initial_distance_to_obstacle,10
RF_t55_r1,initial_heading_error <= -1.2199,pass,0.9466,1.0000,0.7200,0.6667,1,1,1.0000,random_forest,True,True,initial_heading_error,1
RF_t55_r2,initial_heading_error > -1.2199 AND initial_distance_to_obstacle <= 1.3136,fail,0.9466,1.0000,0.7200,0.6667,2,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,2
RF_t55_r3,initial_heading_error > -1.2199 AND initial_distance_to_obstacle > 1.3136 AND initial_heading_error <= 0.4442,fail,0.9466,1.0000,0.7200,0.6667,3,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,3
RF_t55_r4,initial_heading_error > -1.2199 AND initial_distance_to_obstacle > 1.3136 AND initial_heading_error > 0.4442,pass,0.9466,1.0000,0.7200,0.6667,3,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,3
RF_DNF_t55_pass,initial_heading_error <= -1.2199 OR (initial_heading_error > -1.2199 AND initial_distance_to_obstacle > 1.3136 AND initial_heading_error > 0.4442),pass,0.9466,1.0000,0.7200,0.6667,4,2,1.0000,random_forest_dnf,True,True,initial_heading_error; initial_distance_to_obstacle,4
RF_DNF_t55_fail,(initial_heading_error > -1.2199 AND initial_distance_to_obstacle <= 1.3136) OR (initial_heading_error > -1.2199 AND initial_distance_to_obstacle > 1.3136 AND initial_heading_error <= 0.4442),fail,0.9466,1.0000,0.7200,0.6667,5,2,1.0000,random_forest_dnf,True,True,initial_heading_error; initial_distance_to_obstacle,5
RF_t66_r1,initial_heading_error <= -1.3198,pass,0.9466,1.0000,0.7200,0.6667,1,1,0.9091,random_forest,True,True,initial_heading_error,1
RF_t66_r2,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_heading_error <= 0.4532,fail,0.9466,1.0000,0.7200,0.6667,3,1,1.0000,random_forest,True,True,initial_heading_error,3
RF_t66_r3,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_heading_error > 0.4532,fail,0.9466,1.0000,0.7200,0.6667,3,1,0.7143,random_forest,True,True,initial_heading_error,3
RF_t66_r4,initial_heading_error > -1.3198 AND initial_heading_error > 0.7461,pass,0.9466,1.0000,0.7200,0.6667,2,1,0.8182,random_forest,True,True,initial_heading_error,2
RF_DNF_t66_pass,initial_heading_error <= -1.3198 OR (initial_heading_error > -1.3198 AND initial_heading_error > 0.7461),pass,0.9466,1.0000,0.7200,0.6667,3,2,0.8636,random_forest_dnf,True,True,initial_heading_error,3
RF_DNF_t66_fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_heading_error <= 0.4532) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_heading_error > 0.4532),fail,0.9466,1.0000,0.7200,0.6667,6,2,0.8571,random_forest_dnf,True,True,initial_heading_error,6
RF_t75_r2,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,fail,0.9466,1.0000,0.7200,0.6667,3,1,1.0000,random_forest,True,True,initial_heading_error; initial_speed,3
RF_t75_r3,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931,fail,0.9466,1.0000,0.7200,0.6667,4,1,0.6667,random_forest,True,True,initial_heading_error; initial_speed; obstacle_radius,4
RF_t75_r4,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931,fail,0.9466,1.0000,0.7200,0.6667,4,1,1.0000,random_forest,True,True,initial_heading_error; initial_speed; obstacle_radius,4
RF_DNF_t75_fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),fail,0.9466,1.0000,0.7200,0.6667,11,3,0.8889,random_forest_dnf,True,True,initial_heading_error; initial_speed; obstacle_radius,11
RF_t88_r1,initial_heading_error <= 0.974 AND initial_heading_error <= -1.3198,pass,0.9466,1.0000,0.7200,0.6667,2,1,0.8571,random_forest,True,True,initial_heading_error,2
RF_t88_r2,initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle <= 1.9478,fail,0.9466,1.0000,0.7200,0.6667,3,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,3
RF_t88_r3,initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle > 1.9478 AND obstacle_radius <= 0.4534,fail,0.9466,1.0000,0.7200,0.6667,4,1,0.5714,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_radius,4
RF_t88_r4,initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle > 1.9478 AND obstacle_radius > 0.4534,fail,0.9466,1.0000,0.7200,0.6667,4,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_radius,4
RF_t88_r5,initial_heading_error > 0.974,pass,0.9466,1.0000,0.7200,0.6667,1,1,1.0000,random_forest,True,True,initial_heading_error,1
RF_DNF_t88_pass,(initial_heading_error <= 0.974 AND initial_heading_error <= -1.3198) OR initial_heading_error > 0.974,pass,0.9466,1.0000,0.7200,0.6667,3,2,0.9286,random_forest_dnf,True,True,initial_heading_error,3
RF_DNF_t88_fail,(initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle <= 1.9478) OR (initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle > 1.9478 AND obstacle_radius <= 0.4534) OR (initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle > 1.9478 AND obstacle_radius > 0.4534),fail,0.9466,1.0000,0.7200,0.6667,11,3,0.8571,random_forest_dnf,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_radius,11
