rank,rule_id,rule_type,rule_text,selection_score,decisiveness,false_positive_rate,false_negative_rate,n_mismatches,total_runs,selection_reason
1,RF_DNF_t13_fail,fail,(initial_heading_error > -1.0574 AND obstacle_radius <= 0.5504 AND initial_heading_error <= 0.6346 AND obstacle_radius <= 0.4199) OR (initial_heading_error > -1.0574 AND obstacle_radius <= 0.5504 AND initial_heading_error <= 0.6346 AND obstacle_radius > 0.4199) OR (initial_heading_error > -1.0574 AND obstacle_radius > 0.5504 AND initial_distance_to_obstacle <= 2.0298 AND initial_heading_error <= 0.7062) OR (initial_heading_error > -1.0574 AND obstacle_radius > 0.5504 AND initial_distance_to_obstacle > 2.0298),0.6624,0.3376,0.6624,0.0000,104,157,FP rate 66.2% >= 20% | FN rate 0.0% <= 5% | 104 mismatches on 157 runs
2,DT_d2_r2,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,0.6497,0.3503,0.6497,0.0000,102,157,FP rate 65.0% >= 20% | FN rate 0.0% <= 5% | 102 mismatches on 157 runs
3,DT_DNF_d3_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266),0.6497,0.3503,0.6497,0.0000,102,157,FP rate 65.0% >= 20% | FN rate 0.0% <= 5% | 102 mismatches on 157 runs
4,RF_DNF_t84_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error <= -0.7406 AND initial_speed <= 1.3785) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle <= 2.1803) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle > 2.1803),0.6497,0.3503,0.6497,0.0000,102,157,FP rate 65.0% >= 20% | FN rate 0.0% <= 5% | 102 mismatches on 157 runs
5,RF_DNF_t30_fail,fail,(initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error > -0.963 AND initial_heading_error <= -0.6009) OR (initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error > -0.963 AND initial_heading_error > -0.6009) OR (initial_heading_error <= 0.6854 AND obstacle_radius > 0.8169),0.6497,0.3503,0.6497,0.0000,102,157,FP rate 65.0% >= 20% | FN rate 0.0% <= 5% | 102 mismatches on 157 runs
6,RF_DNF_t11_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error <= -0.7341) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed <= 0.1598) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598),0.6497,0.3503,0.6497,0.0000,102,157,FP rate 65.0% >= 20% | FN rate 0.0% <= 5% | 102 mismatches on 157 runs
7,RF_DNF_t19_fail,fail,(obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle <= 2.2733 AND initial_heading_error > -0.8937) OR (obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle > 2.2733 AND initial_heading_error > -0.7341) OR (obstacle_radius > 0.8762 AND obstacle_radius <= 0.9671) OR (obstacle_radius > 0.8762 AND obstacle_radius > 0.9671),0.6178,0.3822,0.6178,0.0000,97,157,FP rate 61.8% >= 20% | FN rate 0.0% <= 5% | 97 mismatches on 157 runs
8,DT_DNF_d4_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266),0.5924,0.4076,0.5924,0.0000,93,157,FP rate 59.2% >= 20% | FN rate 0.0% <= 5% | 93 mismatches on 157 runs
9,DT_DNF_d5_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error <= 0.1928) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error > 0.1928) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266),0.5924,0.4076,0.5924,0.0000,93,157,FP rate 59.2% >= 20% | FN rate 0.0% <= 5% | 93 mismatches on 157 runs
10,RF_t11_r5,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,0.5159,0.4841,0.5159,0.0000,81,157,FP rate 51.6% >= 20% | FN rate 0.0% <= 5% | 81 mismatches on 157 runs
