rule_id,rule_text,rule_type,train_accuracy,val_accuracy,train_f1,val_f1,complexity,support,confidence,source_model,grammar_valid,dnf_valid,variables_used,n_predicates
DT_d2_r1,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882,fail,0.8938,0.8500,0.3704,0.0000,2,1,0.9407,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle,2
DT_d2_r2,initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882,fail,0.8938,0.8500,0.3704,0.0000,2,1,0.6000,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle,2
DT_d2_r3,initial_heading_error > 0.986 AND obstacle_speed <= 0.4865,pass,0.8938,0.8500,0.3704,0.0000,2,1,0.7143,decision_tree,True,True,initial_heading_error; obstacle_speed,2
DT_d2_r4,initial_heading_error > 0.986 AND obstacle_speed > 0.4865,fail,0.8938,0.8500,0.3704,0.0000,2,1,0.8000,decision_tree,True,True,initial_heading_error; obstacle_speed,2
DT_DNF_d2_fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865),fail,0.8938,0.8500,0.3704,0.0000,6,3,0.7802,decision_tree_dnf,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_speed,6
DT_d3_r1,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292,fail,0.8938,0.8500,0.3704,0.0000,3,1,0.9608,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading,3
DT_d3_r2,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292,fail,0.8938,0.8500,0.3704,0.0000,3,1,0.8125,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading,3
DT_d3_r5,initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079,fail,0.8938,0.8500,0.3704,0.0000,3,1,0.9048,decision_tree,True,True,initial_heading_error; obstacle_speed; obstacle_heading,3
DT_d3_r6,initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading > -0.6079,fail,0.8938,0.8500,0.3704,0.0000,3,1,0.5556,decision_tree,True,True,initial_heading_error; obstacle_speed; obstacle_heading,3
DT_DNF_d3_fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading > -0.6079),fail,0.8938,0.8500,0.3704,0.0000,14,5,0.7667,decision_tree_dnf,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading; obstacle_speed,14
DT_d4_r1,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953,fail,0.8938,0.8500,0.3704,0.0000,4,1,0.9775,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading; obstacle_speed,4
DT_d4_r2,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953,fail,0.8938,0.8500,0.3704,0.0000,4,1,0.8462,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading; obstacle_speed,4
DT_d4_r3,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed <= 0.5727,fail,0.8938,0.8500,0.3704,0.0000,4,1,0.5714,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading; obstacle_speed,4
DT_d4_r4,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed > 0.5727,fail,0.8938,0.8500,0.3704,0.0000,4,1,1.0000,decision_tree,True,True,initial_heading_error; initial_distance_to_obstacle; obstacle_heading; obstacle_speed,4
DT_d4_r7,initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error <= 1.815,fail,0.8938,0.8500,0.3704,0.0000,4,1,0.7778,decision_tree,True,True,initial_heading_error; obstacle_speed; obstacle_heading,4
