rule_id,rule_type,rule_text,total_runs,n_mismatches,decisiveness,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,accuracy,grammar_valid,meets_criteria
DT_d2_r1,pass,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574,157,0,1.0000,0.0000,0.8344,26,0,0,131,0.1656,True,False
DT_d2_r2,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574,157,102,0.3503,0.6497,0.0000,0,55,102,0,0.3503,True,True
DT_d2_r3,pass,initial_heading_error > 0.8236,157,0,1.0000,0.0000,0.8153,29,0,0,128,0.1847,True,False
DT_DNF_d2_pass,pass,(initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574) OR initial_heading_error > 0.8236,157,0,1.0000,0.0000,0.6497,55,0,0,102,0.3503,True,False
DT_DNF_d2_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574),157,102,0.3503,0.6497,0.0000,0,55,102,0,0.3503,True,True
DT_d3_r1,pass,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed <= 0.7535,157,0,1.0000,0.0000,0.9490,8,0,0,149,0.0510,True,False
DT_d3_r2,pass,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed > 0.7535,157,0,1.0000,0.0000,0.8854,18,0,0,139,0.1146,True,False
DT_d3_r3,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266,157,43,0.7261,0.2739,0.0000,0,114,43,0,0.7261,True,True
DT_d3_r4,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266,157,59,0.6242,0.3758,0.0000,0,98,59,0,0.6242,True,True
DT_DNF_d3_pass,pass,(initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed <= 0.7535) OR (initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed > 0.7535) OR initial_heading_error > 0.8236,157,0,1.0000,0.0000,0.6497,55,0,0,102,0.3503,True,False
DT_DNF_d3_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266),157,102,0.3503,0.6497,0.0000,0,55,102,0,0.3503,True,True
DT_d4_r3,pass,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error <= -0.5728,157,0,1.0000,0.0000,0.9427,9,0,0,148,0.0573,True,False
DT_d4_r4,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728,157,34,0.7834,0.2166,0.0000,0,123,34,0,0.7834,True,True
DT_DNF_d4_pass,pass,(initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed <= 0.7535) OR (initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed > 0.7535) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error <= -0.5728) OR initial_heading_error > 0.8236,157,0,1.0000,0.0000,0.5924,64,0,0,93,0.4076,True,False
DT_DNF_d4_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266),157,93,0.4076,0.5924,0.0000,0,64,93,0,0.4076,True,True
DT_d5_r4,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error <= 0.1928,157,27,0.8280,0.1720,0.0000,0,130,27,0,0.8280,True,False
DT_d5_r5,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error > 0.1928,157,7,0.9554,0.0446,0.0000,0,150,7,0,0.9554,True,False
DT_DNF_d5_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error <= 0.1928) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error > 0.1928) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266),157,93,0.4076,0.5924,0.0000,0,64,93,0,0.4076,True,True
RF_t84_r1,pass,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.4238,157,0,1.0000,0.0000,0.8917,17,0,0,140,0.1083,True,False
RF_t84_r2,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error <= -0.7406 AND initial_speed <= 1.3785,157,14,0.9108,0.0892,0.0000,0,143,14,0,0.9108,True,False
RF_t84_r3,pass,initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error <= -0.7406 AND initial_speed > 1.3785,157,0,1.0000,0.0000,0.9427,9,0,0,148,0.0573,True,False
RF_t84_r4,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle <= 2.1803,157,63,0.5987,0.4013,0.0000,0,94,63,0,0.5987,True,True
RF_t84_r5,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle > 2.1803,157,25,0.8408,0.1592,0.0000,0,132,25,0,0.8408,True,False
RF_DNF_t84_pass,pass,(initial_heading_error <= 0.8236 AND initial_heading_error <= -1.4238) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error <= -0.7406 AND initial_speed > 1.3785) OR initial_heading_error > 0.8236,157,0,1.0000,0.0000,0.6497,55,0,0,102,0.3503,True,False
RF_DNF_t84_fail,fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error <= -0.7406 AND initial_speed <= 1.3785) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle <= 2.1803) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle > 2.1803),157,102,0.3503,0.6497,0.0000,0,55,102,0,0.3503,True,True
RF_t19_r1,pass,obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle <= 2.2733 AND initial_heading_error <= -0.8937,157,0,1.0000,0.0000,0.8599,22,0,0,135,0.1401,True,False
RF_t19_r2,fail,obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle <= 2.2733 AND initial_heading_error > -0.8937,157,61,0.6115,0.3885,0.0000,0,96,61,0,0.6115,True,True
RF_t19_r3,pass,obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle > 2.2733 AND initial_heading_error <= -0.7341,157,0,1.0000,0.0000,0.9299,11,0,0,146,0.0701,True,False
RF_t19_r4,fail,obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle > 2.2733 AND initial_heading_error > -0.7341,157,12,0.9236,0.0764,0.0000,0,145,12,0,0.9236,True,False
RF_t19_r5,pass,obstacle_radius <= 0.8762 AND initial_heading_error > 0.8236,157,0,1.0000,0.0000,0.8280,27,0,0,130,0.1720,True,False
RF_t19_r6,fail,obstacle_radius > 0.8762 AND obstacle_radius <= 0.9671,157,16,0.8981,0.1019,0.0000,0,141,16,0,0.8981,True,False
RF_t19_r7,fail,obstacle_radius > 0.8762 AND obstacle_radius > 0.9671,157,8,0.9490,0.0510,0.0000,0,149,8,0,0.9490,True,False
