rule_id,rule_type,rule_text,total_runs,n_mismatches,decisiveness,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,accuracy,grammar_valid,meets_criteria
DT_d2_r1,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882,155,110,0.2903,0.7097,0.0000,0,45,110,0,0.2903,True,True
DT_d2_r2,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882,155,5,0.9677,0.0323,0.0000,0,150,5,0,0.9677,True,False
DT_d2_r3,pass,initial_heading_error > 0.986 AND obstacle_speed <= 0.4865,155,0,1.0000,0.0000,0.9613,6,0,0,149,0.0387,True,False
DT_d2_r4,fail,initial_heading_error > 0.986 AND obstacle_speed > 0.4865,155,34,0.7806,0.2194,0.0000,0,121,34,0,0.7806,True,True
DT_DNF_d2_pass,pass,(initial_heading_error > 0.986 AND obstacle_speed <= 0.4865),155,0,1.0000,0.0000,0.9613,6,0,0,149,0.0387,True,False
DT_DNF_d2_fail,fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865),155,149,0.0387,0.9613,0.0000,0,6,149,0,0.0387,True,True
DT_d3_r1,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292,155,97,0.3742,0.6258,0.0000,0,58,97,0,0.3742,True,True
DT_d3_r2,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292,155,13,0.9161,0.0839,0.0000,0,142,13,0,0.9161,True,False
DT_d3_r5,fail,initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079,155,24,0.8452,0.1548,0.0000,0,131,24,0,0.8452,True,False
DT_d3_r6,fail,initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading > -0.6079,155,10,0.9355,0.0645,0.0000,0,145,10,0,0.9355,True,False
DT_DNF_d3_fail,fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading > -0.6079),155,149,0.0387,0.9613,0.0000,0,6,149,0,0.0387,True,True
DT_d4_r1,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953,155,91,0.4129,0.5871,0.0000,0,64,91,0,0.4129,True,True
DT_d4_r2,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953,155,6,0.9613,0.0387,0.0000,0,149,6,0,0.9613,True,False
DT_d4_r3,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed <= 0.5727,155,7,0.9548,0.0452,0.0000,0,148,7,0,0.9548,True,False
DT_d4_r4,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed > 0.5727,155,6,0.9613,0.0387,0.0000,0,149,6,0,0.9613,True,False
DT_d4_r7,fail,initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error <= 1.815,155,11,0.9290,0.0710,0.0000,0,144,11,0,0.9290,True,False
DT_d4_r8,fail,initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error > 1.815,155,13,0.9161,0.0839,0.0000,0,142,13,0,0.9161,True,False
DT_DNF_d4_fail,fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed <= 0.5727) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed > 0.5727) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error <= 1.815) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error > 1.815) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading > -0.6079),155,149,0.0387,0.9613,0.0000,0,6,149,0,0.0387,True,True
DT_d5_r1,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953 AND initial_speed <= 2.278,155,83,0.4645,0.5355,0.0000,0,72,83,0,0.4645,True,True
DT_d5_r2,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953 AND initial_speed > 2.278,155,8,0.9484,0.0516,0.0000,0,147,8,0,0.9484,True,False
DT_d5_r3,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953 AND obstacle_heading <= -1.427,155,5,0.9677,0.0323,0.0000,0,150,5,0,0.9677,True,False
DT_d5_r4,fail,initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953 AND obstacle_heading > -1.427,155,1,0.9935,0.0065,0.0000,0,154,1,0,0.9935,True,False
